video_name	video_url	video_descriptions
video_1	https://youtu.be/Tp8H7IGptvw	a man is drinking water
video_2	https://youtu.be/Arn8nzygYos	a man is getting out of a helicopter
video_3	https://youtu.be/A5sdwUhTFvg	a man is running down a street and then turns around
video_4	https://youtu.be/LQKVrfSxWag	a man is driving a car
video_5	https://youtu.be/UKle66EeUz4	a man is using a power drill
video_6	https://youtu.be/QHNmbxBRBWI	a man is running
video_7	https://youtu.be/9RzBUKpOcHw	a man is doing a wheelie on a road
video_8	https://youtu.be/j04QryKYLuE	a man is falling down a dirt road
video_9	https://youtu.be/hfy3rxzfUMM	a man is getting down a street
video_10	https://youtu.be/QRGJptaMa34	a man is talking to a woman in a store
video_11	https://youtu.be/64evIs0YpGc	a couple of children are sitting in a sofa
video_12	https://youtu.be/EipqYIuGRC8	a woman is playing with a cat
video_13	https://youtu.be/aCOrGpROwvo	a woman is lying on the bed and then gets up her back
video_14	https://youtu.be/q_yDOqaD0N4	a man and a woman are sitting down
video_15	https://youtu.be/_G0gDusmYfo	a baby is laughing and falls
video_16	https://youtu.be/ODpqHRoKUdI	a woman is putting some meat in a bowl
video_17	https://youtu.be/wV8VlloD_BI	a woman is putting some kind of oil into a pan
video_18	https://youtu.be/HGDMyt8yt-U	a man is making a pizza
video_19	https://youtu.be/dxUgQ9vgxik	a man is falling down a dead body
video_20	https://youtu.be/vFeyTVwDoX0	a man is putting a lizard into a box
video_21	https://youtu.be/U4XBuIWlrc8	a man is riding a female and singing a song
video_22	https://youtu.be/sN_uMtVsgj0	men are playing outside
video_23	https://youtu.be/mqJ_76v3TPs	a man is riding a bike
video_24	https://youtu.be/3NftjTH-8p8	a man is doing a bicycle
video_25	https://youtu.be/aoSQeuCaD9M	a man is runing
video_26	https://youtu.be/V8lb50YlfD4	a man is riding on a horse
video_27	https://youtu.be/LkJ4AmPv7kw	a man is walking down a street with a woman
video_28	https://youtu.be/k-QiLrHXaDE	the men are in the streets
video_29	https://youtu.be/WmjtXUZY8AI	a man and woman are riding together
video_30	https://youtu.be/pwlWc2Fv7lI	a man is riding a skateboard
video_31	https://youtu.be/z50XTPF5UE8	a man is walking down a street and a woman is riding a along with the wheel
video_32	https://youtu.be/i2aASOSs7RI	a group of people are dancing
video_33	https://youtu.be/_b5FqzaRrHU	two teams are playing
video_34	https://youtu.be/7oyWxp_lji0	a group of people are dancing
video_35	https://youtu.be/95PJfC7Vu84	a man is being chased by a woman on a counter
video_36	https://youtu.be/7GClKsKLshg	a man is showing a shot
video_37	https://youtu.be/3TjyiII4WFc	a woman is being wheeled down a hill
video_38	https://youtu.be/bG_johQVLhg	a man is using a power drill
video_39	https://youtu.be/RAMQrntwIX0	a woman is getting out of a bed
video_40	https://youtu.be/7-fjoPGzqDU	a man is breaking a large piece of wood
video_41	https://youtu.be/9MFeCFfd3Ho	a man is riding a motorcycle
video_42	https://youtu.be/so7Mj_Ew2po	a man is riding a bicycle
video_43	https://youtu.be/69PqMfiEHrA	a man is riding a bike
video_44	https://youtu.be/_aiz8-Tpmh8	a man is riding a bike
video_45	https://youtu.be/2bjyPVEpj_c	a man is riding a skateboard on a ramp
video_46	https://youtu.be/Y63_yfButns	two men are fighting each other
video_47	https://youtu.be/bmplXtNsQ5M	a woman is petting dogs
video_48	https://youtu.be/QTGgXiTJpNI	a person is playing with a cat
video_49	https://youtu.be/7wlnjkkLAlE	a man is feeding a baby
video_50	https://youtu.be/9-WCh3Aecuc	a man is cleaning a cat
