video_name,video_url,video_descriptions
video_1,https://www.youtube.com/embed/l8m-WIicDC4,A plane is landing then heads to its gate while people are gathered outside talking.
video_1,https://www.youtube.com/embed/l8m-WIicDC4,A plane flying down from the sky and landing on the runway.
video_1,https://www.youtube.com/embed/l8m-WIicDC4,Airpline arriving/landing at an airport
video_2,https://www.youtube.com/embed/M7LXpPsF58M,Someone parachuting off of a tall mountain all the way towards a large body of water.
video_2,https://www.youtube.com/embed/M7LXpPsF58M,two men using a parashoot
video_2,https://www.youtube.com/embed/M7LXpPsF58M,two men jump off the side of a mountain and glide to the bottom using a wing suit and a parachute.
video_3,https://www.youtube.com/embed/XzGD-717K_U,A bear and cub are stuck in a tree
video_3,https://www.youtube.com/embed/XzGD-717K_U,The bear is climbing on the branches breaking it and getting down.
video_3,https://www.youtube.com/embed/XzGD-717K_U,A bear came to village from forest in search of food
video_4,https://www.youtube.com/embed/DfgTbetsz18,The people are driving cycle and playing hockey in the court.
video_4,https://www.youtube.com/embed/DfgTbetsz18,A first person camera view of biking while playing hockety.
video_4,https://www.youtube.com/embed/DfgTbetsz18,GoPro video of people playing hockey while riding bicycles.
video_5,https://www.youtube.com/embed/9s2oRieBfcw,Charter bus trying to squeeze through a very narrow rock tunnel
video_5,https://www.youtube.com/embed/9s2oRieBfcw,A passenger bus slowly inches it's way through a very tight tunnel in the mountains.
video_5,https://www.youtube.com/embed/9s2oRieBfcw,A BUS IS ROCK CROSS HIM.
video_6,https://www.youtube.com/embed/wexQO5mIlhw,The car gets hit on the ridge and a person has got hurt in the legs.
video_6,https://www.youtube.com/embed/wexQO5mIlhw,A group of people trying to break a car near a train line
video_6,https://www.youtube.com/embed/wexQO5mIlhw,A car that runs into some sort of obstacle that raises from the ground.
video_7,https://www.youtube.com/embed/cP7RaajOD7c,The landing of the airplane is shown form the pilot cabin.
video_7,https://www.youtube.com/embed/cP7RaajOD7c,A man flying a plane and looking down over a landscape.
video_7,https://www.youtube.com/embed/cP7RaajOD7c,The cockpit view of an aeroplane that is landing in an airport
video_8,https://www.youtube.com/embed/EdS4Db2HWho,"Cook expert in vegetable handling, is making a show with them to give a good image to diners."
video_8,https://www.youtube.com/embed/EdS4Db2HWho,A flaming tower of onions created by a Teppanyaki chef.
video_8,https://www.youtube.com/embed/EdS4Db2HWho,A chef cutting up the food and vegetables needed for a dish.
video_9,https://www.youtube.com/embed/0wrAfUiufEY,it summarize the eiffel tower size and made view  exposes the song
video_9,https://www.youtube.com/embed/0wrAfUiufEY,The beautiful Eiffel Tower and its surrounding views through my camera .
video_9,https://www.youtube.com/embed/0wrAfUiufEY,The empire state building during a calm evening with blue skies.
video_10,https://www.youtube.com/embed/MmcjfgkBUYs,Men being rescued from the water in a dirt digging machine
video_10,https://www.youtube.com/embed/MmcjfgkBUYs,construction taking place in the water using a construction vehicle to transport people to safety.
video_10,https://www.youtube.com/embed/MmcjfgkBUYs,people using agricultural machinery to get across a river or sea
video_11,https://www.youtube.com/embed/X0xYvHrq_w0,"it is a match box and it's look like a DNA ,then someone fire it ."
video_11,https://www.youtube.com/embed/X0xYvHrq_w0,Someone lighting a figure of matches on fire that are stacked up like a tower.
video_11,https://www.youtube.com/embed/X0xYvHrq_w0,match sticks arrenge a shape and it burns orderly
video_12,https://www.youtube.com/embed/6C79KWt_Iog,Someone sliding down a ramp into a pool while flying in the air for around 50 yards.
video_12,https://www.youtube.com/embed/6C79KWt_Iog,A man slides down a hill and is catapulted into the air landing in a small swimming pool.
video_12,https://www.youtube.com/embed/6C79KWt_Iog,someone jumping in a tunk full of water
video_13,https://www.youtube.com/embed/m1zYYOSldKA,The kids are running and playing with the dried leaves.
video_13,https://www.youtube.com/embed/m1zYYOSldKA,Three kids running around playing and leaves while throwing them in the air.
video_13,https://www.youtube.com/embed/m1zYYOSldKA,Three children are happily playing in a pile of leaves.
video_14,https://www.youtube.com/embed/FSDdXBYmx48,Old buildings and decorated artifacts for the workforce
video_14,https://www.youtube.com/embed/FSDdXBYmx48,"The architecture of some place in europe, a popular tourist attraction."
video_14,https://www.youtube.com/embed/FSDdXBYmx48,Views of a large chuch from the outside and inside.
video_15,https://www.youtube.com/embed/jWa1hRAhtyI,A bunch of people playing paintball while hiding behind walls to remain safe.
video_15,https://www.youtube.com/embed/jWa1hRAhtyI,people are running and hiding themselves.they are soldiers.keep the soldiers are hiding and pointing the enemies.
video_15,https://www.youtube.com/embed/jWa1hRAhtyI,Violence destroys humanity and nature.
video_16,https://www.youtube.com/embed/C5DMk5oYyZo,Kids playing in a blow up water slide with a pool at the bottom of the slide.
video_16,https://www.youtube.com/embed/C5DMk5oYyZo,Children play outside on an inflatable water slide.
video_16,https://www.youtube.com/embed/C5DMk5oYyZo,children having fan wit bouncing catscles
video_17,https://www.youtube.com/embed/kXJ-kkdunrs,Whales are coming forward to the shore of sea and people trying to return them to sea.
video_17,https://www.youtube.com/embed/kXJ-kkdunrs,Large amount of dolphins wash up on beach shore
video_17,https://www.youtube.com/embed/kXJ-kkdunrs,A beach scene with dolphins washed up on the shore and people helping them to get back.
video_18,https://www.youtube.com/embed/dU4U4x88DWI,divers filming marine life and its beauty
video_18,https://www.youtube.com/embed/dU4U4x88DWI,Scuba diver travels through coral reef looking at fish
video_18,https://www.youtube.com/embed/dU4U4x88DWI,A first person camera view of people swimming in the ocean near a reef.
video_19,https://www.youtube.com/embed/FB4sqgmWfKM,People who are watching the sea nature while landing the flight.
video_19,https://www.youtube.com/embed/FB4sqgmWfKM,The Aero plane is flying and  coming down to airport.
video_19,https://www.youtube.com/embed/FB4sqgmWfKM,The landing of a plane over the sea to the runway.
video_20,https://www.youtube.com/embed/8xIiQreShcs,The tourist is recording the statue of liberty in USA.
video_20,https://www.youtube.com/embed/8xIiQreShcs,Tourists visiting the Statue of Liberty.
video_20,https://www.youtube.com/embed/8xIiQreShcs,tourist sigthseeing up close at the statue of liberty im new york city.
video_21,https://www.youtube.com/embed/ML1-4n4KOpw,Shows the trajectory of a toy plane gliding and then returning to the ground
video_21,https://www.youtube.com/embed/ML1-4n4KOpw,Two boys controlling a remote control plane from the view of a camera on its wing.
video_21,https://www.youtube.com/embed/ML1-4n4KOpw,Remote controlled plane with camera on the wing
video_22,https://www.youtube.com/embed/KP252dLMo7g,"Someone biking around a city with tons of obstacles going downhill, down stairs, and many other things."
video_22,https://www.youtube.com/embed/KP252dLMo7g,"An extreme downhill slalom course for bikers with an 'urban' twist, not for the feint of heart!"
video_22,https://www.youtube.com/embed/KP252dLMo7g,A person completed a bicyle race from starting point to the end.
video_23,https://www.youtube.com/embed/zH_17wDkmR0,A car driving towards the camera on a dirt and gravel road.
video_23,https://www.youtube.com/embed/zH_17wDkmR0,A camera on the ground of a dessert pointed towards a car driving around.
video_23,https://www.youtube.com/embed/zH_17wDkmR0,The person is placing the camera on the ground and driving the car.
video_24,https://www.youtube.com/embed/OdX0Bv491NY,A guy jumping from a bridge into a creek with a waterfall.
video_24,https://www.youtube.com/embed/OdX0Bv491NY,A long waiting for a big dip in a natural swimming pool
video_24,https://www.youtube.com/embed/OdX0Bv491NY,woman looks down in a pond of water trying to jump
video_25,https://www.youtube.com/embed/EbCYqpy42wQ,Person playing with a dog and crow using ping pong ball.
video_25,https://www.youtube.com/embed/EbCYqpy42wQ,playing fetch with a black bird while a german sheaperd watches.
video_25,https://www.youtube.com/embed/EbCYqpy42wQ,A crow and a dog fight to play with a ping pong ball
